Date,White,Black,Opening,White_rating,Black_rating,winner,url
2018.08.04,Sinistervs,jtucker109,A20,1058,1171,Sinistervs,https://www.chess.com/game/daily/201129486
2018.08.06,jtucker109,JosueAlmeida98,A40,494,506,jtucker109,https://www.chess.com/game/live/2986991669
2018.08.05,jtucker109,Sinistervs,D02,1188,1028,jtucker109,https://www.chess.com/game/daily/201190776
2018.08.06,Sinistervs,jtucker109,C20,1005,1201,jtucker109,https://www.chess.com/game/daily/201219584
2018.08.07,jtucker109,Sinistervs,A04,1211,954,jtucker109,https://www.chess.com/game/daily/201319488
2018.08.08,Sinistervs,jtucker109,A04,942,1219,jtucker109,https://www.chess.com/game/daily/201392478
2018.08.10,jtucker109,Sinistervs,C25,1226,932,jtucker109,https://www.chess.com/game/daily/201557334
2018.08.11,Sinistervs,jtucker109,A04,936,1212,Draw,https://www.chess.com/game/daily/201604922
2018.08.13,jtucker109,Sinistervs,A34,1180,977,Sinistervs,https://www.chess.com/game/daily/201809224
2018.08.13,Sinistervs,jtucker109,C20,965,1189,jtucker109,https://www.chess.com/game/daily/201810750
2018.08.14,jtucker109,Sinistervs,A00,1161,1001,Sinistervs,https://www.chess.com/game/daily/201898398
2018.08.15,Sinistervs,jtucker109,B00,988,1171,jtucker109,https://www.chess.com/game/daily/201964492
2018.08.15,jtucker109,Sinistervs,C40,1180,977,jtucker109,https://www.chess.com/game/daily/201991464
2018.08.17,Sinistervs,jtucker109,A00,967,1188,jtucker109,https://www.chess.com/game/daily/202121502
2018.08.18,jtucker109,Sinistervs,C20,1195,958,jtucker109,https://www.chess.com/game/daily/202226344
2018.08.19,Sinistervs,jtucker109,A00,950,1202,jtucker109,https://www.chess.com/game/daily/202286976
2018.08.20,jtucker109,Sinistervs,C20,1208,943,jtucker109,https://www.chess.com/game/daily/202317316
2018.08.20,Sinistervs,jtucker109,B00,953,1183,Sinistervs,https://www.chess.com/game/daily/202321270
2018.08.22,Silky_exe,jtucker109,A15,954,1183,jtucker109,https://www.chess.com/game/daily/202485908
2018.08.30,jtucker109,Sinistervs,C00,1189,912,jtucker109,https://www.chess.com/game/daily/203160194
2018.09.01,Sinistervs,jtucker109,A40,906,1194,jtucker109,https://www.chess.com/game/daily/203309248
2018.09.06,jtucker109,matt_6911,C40,474,421,matt_6911,https://www.chess.com/game/live/3055826837
2018.09.06,matt_6911,jtucker109,B07,430,456,matt_6911,https://www.chess.com/game/live/3055833703
2018.09.04,jtucker109,Sinistervs,A00,1184,916,Draw,https://www.chess.com/game/daily/203641260
2018.09.06,Sinistervs,jtucker109,B00,941,1160,Sinistervs,https://www.chess.com/game/daily/203774680
2018.09.08,Sinistervs,jtucker109,D00,791,487,jtucker109,https://www.chess.com/game/live/3061291686
2018.09.10,jtucker109,Sinistervs,A00,1160,941,jtucker109,https://www.chess.com/game/daily/204083764
2018.09.12,jtucker109,Silky_exe,A00,1167,939,jtucker109,https://www.chess.com/game/daily/204283940
2018.09.13,Silky_exe,jtucker109,B00,926,1173,jtucker109,https://www.chess.com/game/daily/204361724
2018.09.13,jtucker109,Silky_exe,A00,1179,915,jtucker109,https://www.chess.com/game/daily/204362642
2018.09.16,Silky_exe,jtucker109,B20,905,1184,jtucker109,https://www.chess.com/game/daily/204554656
2018.09.16,Silky_exe,jtucker109,C23,896,1189,jtucker109,https://www.chess.com/game/daily/204554664
2018.09.18,jtucker109,Silky_exe,B07,1180,904,Draw,https://www.chess.com/game/daily/204704668
2018.09.19,jtucker109,SwathiY,B00,469,442,SwathiY,https://www.chess.com/game/live/3086902637
2018.09.19,Silky_exe,jtucker109,C40,877,1184,jtucker109,https://www.chess.com/game/daily/204799456
2018.10.08,jtucker109,faisalrhr,A02,460,651,faisalrhr,https://www.chess.com/game/live/3128870070
2018.10.28,jtucker109,Taimoor79,A20,443,489,Taimoor79,https://www.chess.com/game/live/3176027661
2018.11.06,jtucker109,SirCoonith,A40,1188,752,jtucker109,https://www.chess.com/game/daily/208797964
2018.11.08,SoLiD187,jtucker109,A00,1200,443,SoLiD187,https://www.chess.com/game/live/3202272610
2018.11.09,jtucker109,SoLiD187,C20,443,1200,SoLiD187,https://www.chess.com/game/live/3202757025
2018.11.11,SoLiD187,jtucker109,B00,1352,1177,SoLiD187,https://www.chess.com/game/daily/209152846
2018.11.12,MonicaMagallanes,jtucker109,A00,439,424,MonicaMagallanes,https://www.chess.com/game/live/3209747397
2018.11.11,jtucker109,SoLiD187,C20,1195,1187,jtucker109,https://www.chess.com/game/daily/209231634
2018.11.13,jtucker109,Silky_exe,C00,1195,877,jtucker109,https://www.chess.com/game/daily/209412720
2018.11.30,SoLiD187,jtucker109,B07,1187,1195,SoLiD187,https://www.chess.com/game/daily/211019093
2018.12.06,Silky_exe,jtucker109,D00,917,1164,Silky_exe,https://www.chess.com/game/daily/211650533
2019.01.03,afrocaps,jtucker109,B20,322,442,jtucker109,https://www.chess.com/game/live/3347180122
2019.01.22,jtucker109,queenaletha,A00,1145,1245,queenaletha,https://www.chess.com/game/daily/216516112
2019.02.12,SoLiD187,jtucker109,B00,1210,440,SoLiD187,https://www.chess.com/game/live/3454200123
2019.02.18,jtucker109,SoLiD187,A00,1128,1265,SoLiD187,https://www.chess.com/game/daily/219296896
2019.02.19,jtucker109,stakzamillion,A00,436,874,stakzamillion,https://www.chess.com/game/live/3472986752
2019.02.19,stakzamillion,jtucker109,A00,875,432,stakzamillion,https://www.chess.com/game/live/3473010822
2019.02.19,SoLiD187,jtucker109,A40,1311,1115,SoLiD187,https://www.chess.com/game/daily/219366582
2019.02.20,jtucker109,powerenoch,A00,415,545,powerenoch,https://www.chess.com/game/live/3476048912
2019.02.20,jtucker109,SoLiD187,A06,1142,1219,jtucker109,https://www.chess.com/game/daily/219463902
2019.02.21,SoLiD187,jtucker109,A45,1260,1127,SoLiD187,https://www.chess.com/game/daily/219579792
2019.02.22,stakzamillion,jtucker109,A00,1800,1127,jtucker109,https://www.chess.com/game/daily/219698018
2019.02.22,jtucker109,SoLiD187,A40,1115,1290,SoLiD187,https://www.chess.com/game/daily/219668146
2019.02.20,queenaletha,jtucker109,A00,1323,1105,queenaletha,https://www.chess.com/game/daily/219504314
2019.02.26,SoLiD187,jtucker109,A45,1312,1096,SoLiD187,https://www.chess.com/game/daily/220067072
2019.04.09,jtucker109,stakzamillion,C00,1096,1800,jtucker109,https://www.chess.com/game/daily/223896964
2019.06.25,jtucker109,kbano,A00,1071,1121,kbano,https://www.chess.com/game/daily/230426898
2019.06.26,kbano,jtucker109,B00,1113,1049,kbano,https://www.chess.com/game/daily/230528328
2020.02.20,Slayereric,jtucker109,B00,876,656,Slayereric,https://www.chess.com/game/live/4518599949
2020.02.20,jtucker109,fakhri_haf,C47,481,516,fakhri_haf,https://www.chess.com/game/live/4518626802
2020.02.21,jtucker109,aliahmed6463,A00,428,662,aliahmed6463,https://www.chess.com/game/live/4520493476
